ds,y
2022-11-07T09:47:18.336432875Z,160
2022-11-07T09:47:20.898643167Z,156
2022-11-07T09:47:23.291576167Z,80
2022-11-07T09:47:25.81434475Z,164
2022-11-07T09:47:28.372579125Z,170
2022-11-07T09:47:30.833062542Z,174
2022-11-07T09:47:33.395429084Z,167
2022-11-07T09:47:35.792266209Z,144
2022-11-07T09:47:38.30490575Z,148
2022-11-07T09:47:40.867311084Z,160
2022-11-07T09:47:43.290642334Z,167
2022-11-07T09:47:45.887065709Z,162
2022-11-07T09:47:48.292319292Z,157
2022-11-07T09:47:50.902577375Z,157
2022-11-07T09:47:53.359814292Z,0
2022-11-07T09:47:55.791189375Z,162
2022-11-07T09:47:58.377459209Z,150
2022-11-07T09:48:00.803898375Z,151
2022-11-07T09:48:03.294080209Z,153
2022-11-07T09:48:05.854690584Z,107
2022-11-07T09:48:08.314583709Z,161
2022-11-07T09:48:10.834421Z,151
2022-11-07T09:48:13.330670167Z,163
2022-11-07T09:48:15.793715709Z,159
2022-11-07T09:48:18.346320042Z,144
2022-11-07T09:48:20.805982125Z,174
2022-11-07T09:48:23.324110875Z,176
2022-11-07T09:48:25.825611042Z,154
2022-11-07T09:48:28.382130459Z,159
2022-11-07T09:48:30.842314834Z,130
2022-11-07T09:48:33.402092334Z,146
2022-11-07T09:48:35.818121792Z,33
2022-11-07T09:48:38.318836417Z,147
2022-11-07T09:48:40.8775205Z,149
2022-11-07T09:48:43.334824667Z,141
2022-11-07T09:48:45.894373459Z,150
2022-11-07T09:48:48.353467459Z,87
2022-11-07T09:48:50.79235Z,105
2022-11-07T09:48:53.369632959Z,119
2022-11-07T09:48:55.828071292Z,94
2022-11-07T09:48:58.291991792Z,91
2022-11-07T09:49:00.793110292Z,81
2022-11-07T09:49:03.303797959Z,99
2022-11-07T09:49:05.794571Z,0
2022-11-07T09:49:08.32183575Z,90
2022-11-07T09:49:10.882788125Z,102
2022-11-07T09:49:13.340849709Z,82
