#group,false,false,true,true,false,false,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string
#default,mean,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,clientId,lat,lng,prediction
,,0,2022-08-29T13:05:11.790971Z,2022-08-29T14:05:11.790971Z,2022-08-29T13:40:30Z,59.87500000000001,humidity,val,diubi-esp-32,42.84629,13.904817,no
,,0,2022-08-29T13:05:11.790971Z,2022-08-29T14:05:11.790971Z,2022-08-29T13:40:40Z,59.675000000000004,humidity,val,diubi-esp-32,42.84629,13.904817,no
,,0,2022-08-29T13:05:11.790971Z,2022-08-29T14:05:11.790971Z,2022-08-29T13:40:50Z,59.24999999999999,humidity,val,diubi-esp-32,42.84629,13.904817,no
,,0,2022-08-29T13:05:11.790971Z,2022-08-29T14:05:11.790971Z,2022-08-29T13:41:00Z,59.125,humidity,val,diubi-esp-32,42.84629,13.904817,no
,,0,2022-08-29T13:05:11.790971Z,2022-08-29T14:05:11.790971Z,2022-08-29T13:41:10Z,59.05,humidity,val,diubi-esp-32,42.84629,13.904817,no
,,0,2022-08-29T13:05:11.790971Z,2022-08-29T14:05:11.790971Z,2022-08-29T13:41:20Z,58.9,humidity,val,diubi-esp-32,42.84629,13.904817,no
,,0,2022-08-29T13:05:11.790971Z,2022-08-29T14:05:11.790971Z,2022-08-29T13:41:30Z,58.825,humidity,val,diubi-esp-32,42.84629,13.904817,no
,,0,2022-08-29T13:05:11.790971Z,2022-08-29T14:05:11.790971Z,2022-08-29T13:41:40Z,58.800000000000004,humidity,val,diubi-esp-32,42.84629,13.904817,no
,,0,2022-08-29T13:05:11.790971Z,2022-08-29T14:05:11.790971Z,2022-08-29T13:41:50Z,59.074999999999996,humidity,val,diubi-esp-32,42.84629,13.904817,no
,,0,2022-08-29T13:05:11.790971Z,2022-08-29T14:05:11.790971Z,2022-08-29T13:42:00Z,59.224999999999994,humidity,val,diubi-esp-32,42.84629,13.904817,no
,,0,2022-08-29T13:05:11.790971Z,2022-08-29T14:05:11.790971Z,2022-08-29T13:42:10Z,59.25,humidity,val,diubi-esp-32,42.84629,13.904817,no
,,0,2022-08-29T13:05:11.790971Z,2022-08-29T14:05:11.790971Z,2022-08-29T13:42:20Z,59.275000000000006,humidity,val,diubi-esp-32,42.84629,13.904817,no
,,0,2022-08-29T13:05:11.790971Z,2022-08-29T14:05:11.790971Z,2022-08-29T13:42:30Z,59.349999999999994,humidity,val,diubi-esp-32,42.84629,13.904817,no
,,0,2022-08-29T13:05:11.790971Z,2022-08-29T14:05:11.790971Z,2022-08-29T13:42:40Z,59.5,humidity,val,diubi-esp-32,42.84629,13.904817,no
,,0,2022-08-29T13:05:11.790971Z,2022-08-29T14:05:11.790971Z,2022-08-29T13:42:50Z,59.224999999999994,humidity,val,diubi-esp-32,42.84629,13.904817,no
